"site";"lat";"lon";"year";"month";"tmean";"prec"
"b2";"50,02";"10,49";"1898";"9";"13,2";"19"
"b2";"50,02";"10,49";"1898";"10";"9,5";"46"
"b2";"50,02";"10,49";"1898";"11";"4,4";"10"
"b2";"50,02";"10,49";"1898";"12";"2,5";"31"
"b2";"50,02";"10,49";"1899";"1";"1,7";"64"
"b2";"50,02";"10,49";"1899";"2";"1,5";"26"
"b2";"50,02";"10,49";"1899";"3";"2,7";"8"
"b2";"50,02";"10,49";"1899";"4";"7,5";"68"
"b2";"50,02";"10,49";"1899";"5";"11,5";"62"
"b2";"50,02";"10,49";"1899";"6";"15,1";"49"
"b2";"50,02";"10,49";"1899";"7";"17,4";"65"
"b2";"50,02";"10,49";"1899";"8";"17,2";"19"
"b2";"50,02";"10,49";"1899";"9";"12,7";"103"
"b2";"50,02";"10,49";"1899";"10";"7,2";"30"
"b2";"50,02";"10,49";"1899";"11";"6,0";"29"
"b2";"50,02";"10,49";"1899";"12";"-3,6";"29"
"b2";"50,02";"10,49";"1900";"1";"0,9";"77"
"b2";"50,02";"10,49";"1900";"2";"1,7";"56"
"b2";"50,02";"10,49";"1900";"3";"0,7";"28"
"b2";"50,02";"10,49";"1900";"4";"7,0";"39"
"b2";"50,02";"10,49";"1900";"5";"11,1";"58"
"b2";"50,02";"10,49";"1900";"6";"16,5";"81"
"b2";"50,02";"10,49";"1900";"7";"18,7";"97"
"b2";"50,02";"10,49";"1900";"8";"16,4";"66"
"b2";"50,02";"10,49";"1900";"9";"13,5";"27"
"b2";"50,02";"10,49";"1900";"10";"7,9";"73"
"b2";"50,02";"10,49";"1900";"11";"4,9";"29"
"b2";"50,02";"10,49";"1900";"12";"2,3";"56"
"b2";"50,02";"10,49";"1901";"1";"-4,7";"52"
"b2";"50,02";"10,49";"1901";"2";"-4,8";"41"
"b2";"50,02";"10,49";"1901";"3";"2,6";"62"
"b2";"50,02";"10,49";"1901";"4";"8,7";"55"
"b2";"50,02";"10,49";"1901";"5";"13,6";"39"
"b2";"50,02";"10,49";"1901";"6";"16,5";"58"
"b2";"50,02";"10,49";"1901";"7";"18,6";"100"
"b2";"50,02";"10,49";"1901";"8";"16,5";"78"
"b2";"50,02";"10,49";"1901";"9";"13,3";"72"
"b2";"50,02";"10,49";"1901";"10";"8,5";"95"
"b2";"50,02";"10,49";"1901";"11";"2,6";"36"
"b2";"50,02";"10,49";"1901";"12";"1,1";"60"
"b2";"50,02";"10,49";"1902";"1";"2,7";"43"
